u_id	f_id	score	actual name	result name
1005	/m/0848cz	472.018585	Granite State College	Granite State College
1006	/m/0g10fh	323.16803	Gratz College	Gratz College
1007	/m/02p_5h	432.361786	Great Basin College	Great Basin College
1008	/m/074lty	513.899475	Great Lakes Christian College	Great Lakes Christian College
1009	/m/02m0v4	514.771484	Green Mountain College	Green Mountain College
1010	/m/01953q	405.426941	Greensboro College	Greensboro College
1011	/m/01jblh	423.846619	Greenville College	Greenville College
1012	/m/025t9z5	532.768311	Gwynedd-Mercy College	Gwynedd-Mercy College
1013	/m/017d77	497.97879	Hampshire College	Hampshire College
1014	/m/04wlz2	567.939575	Hampton University	Hampton University
1015	/m/025yq_6	327.651276	Hannibal-LaGrange University	Hannibal-LaGrange College
1016	/m/03pv4p	459.912231	Hanover College	Hanover College
1017	/m/07109q	635.259705	Hardin-Simmons University	Hardin-Simmons University
1018	/m/03klg_	458.295837	Harding University	Harding University
1019	/m/0d0hk9	431.32724	Harrington College of Design	Harrington College of Design
1020	/m/07jfym	639.322815	Harris-Stowe State University	Harris-Stowe State University
1021	/m/03vllp	594.291199	Harrisburg University of Science and Technology	Harrisburg University of Science and Technology
1022	/m/02sl5r	480.360107	Hartwick College	Hartwick College
1023	/m/035l95	715.714539	Haskell Indian Nations University	Haskell Indian Nations University
1024	/m/02jmst	571.34198	Hastings College	University of California, Hastings College of the Law
1025	/m/036gyz	615.224609	Hawaii Pacific University	Hawaii Pacific University
1026	/m/05nhjj	427.417847	Hebrew Theological College	Hebrew Theological College
1027	/m/0pmcz	998.919373	Heidelberg University	Ruprecht Karl University of Heidelberg
1028	/m/0bn4c8	358.508423	Hellenic College	Hellenic College
1029	/m/05j813	583.009277	Henderson State University	Henderson State University
1030	/m/0dplh	378.159088	Heritage University	University College London
1031	/m/06gg7w	343.067139	Herzing University	Herzing University
1032	/m/02l8k2	359.704041	Hilbert College	Hilbert College
1033	/m/01ddxw	524.204773	Hillsdale College	Hillsdale College
