u_id,f_id,score,actual name,result name,fuzzywuzzy ratio
1981,/m/01yqqv,598.690125,Bradley university,Bradley University,94
1982,/m/02vpg0,436.714264,Northland International University,Northland International University,100
1983,/m/03v6t,1386.981689,Iowa state university,Iowa State University,90
1984,/m/04x8mj,1030.17334,Pennsylvania Academy of Fine Arts,Pennsylvania Academy of the Fine Arts,87
1985,,,Saginaw Valley State Univesity,No result,44
1986,/m/04gz95,9.260622,SVSU,Saginaw Valley State University,25
1987,/m/0ks67,1547.851685,Rutgers University,Rutgers University,100
1988,/m/025v3k,1783.583862,University of Minnesota,University of Minnesota,100
1989,/m/02nf69,1318.357666,BRIGHAM YOUNG UNIVERSITY (IDAHO),Brigham Young University-Idaho,20
1990,/m/01hb1t,974.729309,School of visual arts,School of Visual Arts,90
1991,/m/08rk9b,624.0979,Atlantic Cape Community College,Atlantic Cape Community College,100
1992,/m/0388r7,481.498688,University of St. Gallen (Switzerland),University of St. Gallen,100
1993,/m/02bfj8,1323.904297,University of Puerto Rico-Mayaguez,University of Puerto Rico at Mayagüez,88
1994,/m/0bjqh,1124.602905,School of Art Institute of Chicago,School of the Art Institute of Chicago,88
1995,/m/02bfj8,1323.904297,University of Puerto Rico - Mayaguez,University of Puerto Rico at Mayagüez,88
1996,/m/03d405k,282.374969,The New England Institute of Art,New England Institute of Art,100
1997,/m/0jksm,559.011108,Tsinghua University,Tsinghua University,100
1998,/m/09c0ln,569.365906,"The Illinois Institute of Art, Chicago",The Illinois Institute of Art - Chicago,94
1999,/m/07my0b,358.628693,Pontificia Universidad Javeriana,Pontifical Xavierian University,61
2000,/m/075z01,412.509796,carey school of business,W. P. Carey School of Business,87
2001,,,"Edinburgh University or similar in that area, applying for 2015",No result,44
2002,/m/07vhb,1766.586914,University of California Santa Cruz,"University of California, Santa Cruz",97
2003,/m/01qrb2,1736.904907,Indiana University - Bloomington,Indiana University Bloomington,93
2004,/m/0438f,18.484766,JMU,James Madison University,33
2005,/m/02qvmtf,502.107727,Carey Business School,Carey Business School,100
2006,/m/06g9gh,486.107727,University of Lagos,University of Lagos,100
2007,,,Art Institute of Phildelphia,No result,33
2008,/m/020ddc,731.419495,University of Maine at Presque Isle,University of Maine,100
2009,/m/014jyk,810.927612,University of Liverpool,University of Liverpool,100
2010,,,Northeastern University & Eastern Nazarene College,No result,66
2011,,,asdasd,No result,18
2012,,,American Univ. of Dubai,No result,35
2013,/m/029fvh,582.525391,West Texas A & M,West Texas A&M University,81
2014,/m/08815,166.122391,Yale,Yale University,100
2015,/m/02lvvt,338.0354,SUNY Oswego,State University of New York at Oswego,63
2016,/m/02m9jp,419.034821,SUNY - Empire State College,Empire State College,100
2017,/m/0344bc,41.59523,Derby,University of Derby,100
