1726,/m/09r69h,31.23016,University of St. Joseph,"Saint Joseph College, West Hartford",75,,130314,University of Saint Joseph
1379,/m/08768q,44.892223,"Pennsylvania State University--Erie, The Behrend College","Penn State Erie, The Behrend College",75,,,
727,/m/035p0k,19.500092,Bridgewater State University,Bridgewater State College,76,TRUE,,
1015,/m/025yq_6,27.001329,Hannibal-LaGrange University,Hannibal-LaGrange College,76,,,
1003,/m/09bxtf,30.45355,Grace College and Seminary,Grace College and Theological Seminary,76,,,
1350,/m/02662sv,42.334904,Oklahoma State University Institute of Technology--Okmulgee,Oklahoma State University-Okmulgee,76,,,
78,/m/02dq8f,46.307671,University at Albany--SUNY,"University at Albany, The State University of New York",76,,,
324,/m/02dq8f,46.307671,University at Albany--SUNY,"University at Albany, The State University of New York",76,,DUPLICATE,
1324,/m/074lkb,21.15889,Northwest Christian University,Northwest Christian College,77,TRUE,,
1639,/m/02cttt,52.483635,University at Buffalo--SUNY,"University at Buffalo, The State University of New York",77,,,
1613,/m/0f9jh4,19.051735,Trident University International,TUI University,78,TRUE,,
558,/m/0bfx15,44.385818,Albany State University,Albany State University,78,,,
1527,/m/027h2p,28.190796,"St. John's College - Annapolis, MD","St. John's College, U.S.",79,,,
1356,/m/02rlrtx,48.551922,Oregon College of Art and Craft,Oregon college of art & craft,79,,Weird formatting,
1912,/m/02gnjf,2.594658,Devry,DeVry University,80,TRUE,,
1871,/m/0vb3ly0,6.299999,Hanoi University of Law,Hanoi Law University,80,TRUE,,
1335,/m/04hybc,27.929762,Notre Dame of Maryland University,College of Notre Dame of Maryland,80,,,
1910,/m/0vkl2,79.459557,School of Oriental and African Studies - University of London,"SOAS, University of London",80,,,
462,/m/0clvs5s,20.924179,SUNY College--Cortland,SUNY College at Cortland,81,TRUE,,
2013,/m/029fvh,35.433174,West Texas A & M,West Texas A&M University,81,,,
418,/m/039l1r,40.828777,Sewanee--University of the South,"Sewanee, The University of the South",81,,,
1103,/m/090985,17.754086,"King's College - New York, NY","The King's College, New York",82,TRUE,,
1754,/m/025sr8x,20.84553,University of Virginia--Wise,The University of Virginia's College at Wise,82,TRUE,,
1547,/m/0m2_n,37.879795,St. Mary's University of San Antonio,"St. Mary's University, Texas",82,,,
1904,/m/052nd,38.868721,mcgill university,McGill University,82,,,
667,/m/05qht0,42.945049,Baptist Memorial College of Health Sciences,Baptist College of Health Sciences,82,,,
849,/m/03n_9g,47.544003,Concordia University--St. Paul,"Concordia University, Saint Paul",83,,,
1879,/m/0pz6q,65.178329,Albert-Ludwigs-UniversitÌ_t Freiburg im Breisgau,Albert Ludwigs University of Freiburg,83,,,
1528,/m/027h2p,1021.01178,"St. John's College - Santa Fe, NM","St. John's College, U.S.",83,,,
1860,/m/033w82,15.767849,CSU Channel Islands,"California State University, Channel Islands",84,TRUE,,
1662,/m/0308mr,28.5242,University of Hawaii--Hilo,University of Hawaii at Hilo,84,,,
1740,/m/05rm__,32.965004,University of Texas--Tyler,University of Texas at Tyler,84,,,
1418,/m/03ryds,33.243599,Ringling College of Art and Design,Ringling School of Art and Design,84,,,
825,/m/06vrvp,37.075401,College of St. Rose,The College of Saint Rose,84,,,
1628,,37.474987,United States International University--Kenya,,84,,NOT FOUND,
1937,/m/07vhb,37.68961,UC Santa Cruz,"University of California, Santa Cruz",84,,,
1889,/m/01x3x1,55.349182,embry riddle aeronautical,Embry-Riddle Aeronautical University,84,,,
1864,/m/02zcnq,10,California State University- Sacremento,California State University-Sacramento,85,TRUE,,
1675,/m/08fg2y,18.491653,University of Maine--Machias,University of Maine at Machias,85,TRUE,,
1212,/m/07ymzn,19.372221,Mercy College of Ohio,Mercy College of Northwest Ohio,85,TRUE,,
1672,/m/0dvzs8,20.260323,University of Maine--Augusta,University of Maine at Augusta,85,TRUE,,
1577,/m/02qf_b,23.21911,SUNY Maritime College,State University of New York Maritime College,85,TRUE,,
1949,/m/022lly,39.371414,ball state university,Ball State University,85,,,
141,/m/02mt2n,52.985626,University of Texas--Dallas,University of Texas at Dallas,85,,,
51,/m/02_7kp,64.599686,University of Hawaii--Manoa,University of Hawaii at Manoa,85,,,
6,/m/01s7pm,68.391624,University of Texas--El Paso,University of Texas at El Paso,85,,,
161,/m/07w0v,80.127892,University of Texas--Austin,University of Texas at Austin,85,,,
260,/m/07w0v,80.127892,University of Texas--Austin,University of Texas at Austin,85,,,
1708,/m/02bfj8,82.540016,University of Puerto Rico--Mayaguez,University of Puerto Rico at Mayagüez,85,,,
1727,/m/05h5r4,22.817465,University of St. Mary,University of Saint Mary of the Lake,86,TRUE,,
1273,/m/0b5cvt,23.568611,Mount St. Mary College,Mount Saint Mary College,86,TRUE,,
397,/m/01g4c1,30.91357,College of St. Benedict,College of Saint Benedict,86,,,
1674,/m/0df8v8,33.323189,University of Maine--Fort Kent,University of Maine at Fort Kent,86,,,
53,/m/03np_7,51.331161,University of Texas--Arlington,University of Texas at Arlington,86,,,
57,/m/0321m8,53.094604,University of Colorado--Denver,University of Colorado at Denver,86,,,
335,/m/0321m8,53.094604,University of Colorado--Denver,University of Colorado at Denver,86,,,
1693,/m/05h3ds,54.593521,University of Nebraska--Omaha,University of Nebraska at Omaha,86,,,
1962,/m/06v_pw,2.261179,PFeiffer,Pfeiffer University,87,TRUE,,
1737,/m/04cd4c,10.504725,University of Texas--Brownsville,University of Texas at Brownsville and Texas Southmost College,87,TRUE,,
822,/m/01r3ts,18.261078,College of St. Elizabeth,College of Saint Elizabeth,87,TRUE,,
